date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2015-01-01,A_Value,oos,-0.024844,-0.026015,-0.037265,0.050373,-0.087638,1.0,1.0,1.0,555.0,555.0,0.05362,0.01,0.00125,0.0,-0.00125,0.0,6.418018,2.508108,0.975156,-0.024844,-0.024844,,,,,,,,,,,,,,,,0.0,,
2015-02-01,A_Value,oos,0.011211,0.018426,0.016816,0.004248,0.012568,0.035971,0.035971,0.035971,556.0,556.0,-0.002034,0.00036,0.00125,0.0,-0.00125,0.0,6.505396,2.535971,0.986088,0.011211,-0.013912,,,,,,,,,,,,,,,,0.5,,
2015-03-01,A_Value,oos,0.006335,0.011113,0.009502,0.006094,0.003408,0.030686,0.041516,0.036101,554.0,554.0,0.007952,0.000361,0.00125,0.0,-0.00125,0.0,6.525271,2.593863,0.992335,0.006335,-0.007665,-0.007665,,,,,,0.0,,,,,,,,,0.666667,0.666667,
2015-04-01,A_Value,oos,-0.007372,-0.000685,-0.011057,0.00308,-0.014137,0.990991,0.833431,0.912211,555.0,1711.0,0.004744,0.009122,0.00125,0.0,-0.00125,0.0,6.034234,1.028638,0.98502,-0.007372,0.010115,-0.01498,,,,,,-0.007372,,,,,,,,,0.666667,0.5,
2015-05-01,A_Value,oos,-0.004872,0.001002,-0.007308,-0.014772,0.007465,0.933453,0.478417,0.705935,556.0,556.0,-0.011654,0.007059,0.00125,0.0,-0.00125,0.0,6.336331,2.568345,0.980221,-0.004872,-0.00595,-0.019779,,,,,,-0.012207,,,,,,,,,0.333333,0.4,
2015-06-01,A_Value,oos,0.012983,0.022056,0.019475,-0.014132,0.033606,0.089928,0.176259,0.133094,556.0,556.0,-0.027217,0.001331,0.00125,0.0,-0.00125,0.0,6.350719,2.798561,0.992947,0.012983,0.000617,-0.007053,-0.007053,,,0.049537,,-0.012207,-0.012207,,-0.264795,,-0.392216,,-1.151382,,0.333333,0.5,0.5
2015-07-01,A_Value,oos,0.017962,0.032437,0.026943,-0.052739,0.079681,0.43705,0.411871,0.42446,556.0,556.0,-0.051852,0.004245,0.00125,0.0,-0.00125,0.0,6.359712,2.095324,1.010783,0.017962,0.026154,0.036534,0.010783,,,0.051647,,-0.012207,-0.012207,,0.378499,,0.618921,,1.520017,,0.666667,0.666667,0.571429
2015-08-01,A_Value,oos,0.042778,0.066413,0.064167,-0.04382,0.107986,0.089767,0.109515,0.099641,557.0,557.0,-0.053566,0.000996,0.00125,0.0,-0.00125,0.0,6.10772,1.789946,1.054022,0.042778,0.07529,0.068892,0.054022,,,0.069471,,-0.012207,-0.012207,,1.169868,,2.713313,,6.726821,,1.0,0.666667,0.625
2015-09-01,A_Value,oos,0.016515,0.02653,0.024772,0.069276,-0.044504,0.057971,0.043478,0.050725,552.0,552.0,0.054526,0.000507,0.00125,0.0,-0.00125,0.0,6.278986,2.021739,1.071429,0.016515,0.079039,0.079705,0.071429,,,0.06595,,-0.004872,-0.012207,,1.429276,,3.304503,,7.893123,,1.0,0.666667,0.666667
2015-10-01,A_Value,oos,-0.024488,-0.035022,-0.036732,-0.002386,-0.034346,0.055957,0.036101,0.046029,554.0,554.0,0.008298,0.00046,0.00125,0.0,-0.00125,0.0,6.344765,2.032491,1.045191,-0.024488,0.034042,0.061086,0.045191,,,0.071565,,-0.024488,-0.024488,,0.774813,,1.586807,,2.224399,,0.666667,0.666667,0.6
