date,regime
1991-12-31,goldilocks
1992-01-31,goldilocks
1992-02-28,goldilocks
1992-03-31,goldilocks
1992-04-30,goldilocks
1992-05-29,goldilocks
1992-06-30,goldilocks
1992-07-31,goldilocks
1992-08-31,goldilocks
1992-09-30,goldilocks
1992-10-30,slowdown
1992-11-30,goldilocks
1992-12-31,goldilocks
1993-01-29,goldilocks
1993-02-26,goldilocks
1993-03-31,goldilocks
1993-04-30,goldilocks
1993-05-31,goldilocks
1993-06-30,goldilocks
1993-07-30,goldilocks
1993-08-31,goldilocks
1993-09-30,goldilocks
1993-10-29,goldilocks
1993-11-30,goldilocks
1993-12-31,goldilocks
1994-01-31,goldilocks
1994-02-28,goldilocks
1994-03-31,slowdown
1994-04-29,slowdown
1994-05-31,slowdown
1994-06-30,slowdown
1994-07-29,goldilocks
1994-08-31,goldilocks
1994-09-30,goldilocks
1994-10-31,goldilocks
1994-11-30,slowdown
1994-12-30,slowdown
1995-01-31,slowdown
1995-02-28,slowdown
1995-03-31,slowdown
1995-04-28,slowdown
1995-05-31,slowdown
1995-06-30,crisis
1995-07-31,crisis
1995-08-31,slowdown
1995-09-29,slowdown
1995-10-31,slowdown
1995-11-30,slowdown
1995-12-29,slowdown
1996-01-31,slowdown
1996-02-29,crisis
1996-03-29,crisis
1996-04-30,crisis
1996-05-31,crisis
1996-06-28,slowdown
1996-07-31,stagflation
1996-08-30,stagflation
1996-09-30,stagflation
1996-10-31,stagflation
1996-11-29,stagflation
1996-12-31,slowdown
1997-01-31,slowdown
1997-02-28,stagflation
1997-03-31,slowdown
1997-04-30,slowdown
1997-05-30,goldilocks
1997-06-30,goldilocks
1997-07-31,goldilocks
1997-08-29,slowdown
1997-09-30,goldilocks
1997-10-31,slowdown
1997-11-28,crisis
1997-12-31,slowdown
1998-01-30,slowdown
1998-02-27,slowdown
1998-03-31,slowdown
1998-04-30,slowdown
1998-05-29,slowdown
1998-06-30,slowdown
1998-07-31,slowdown
1998-08-31,crisis
1998-09-30,crisis
1998-10-30,crisis
1998-11-30,slowdown
1998-12-31,crisis
1999-01-29,slowdown
1999-02-26,crisis
1999-03-31,goldilocks
1999-04-30,goldilocks
1999-05-31,goldilocks
1999-06-30,goldilocks
1999-07-30,goldilocks
1999-08-31,slowdown
1999-09-30,reflation
1999-10-29,reflation
1999-11-30,reflation
1999-12-31,reflation
2000-01-31,reflation
2000-02-29,stagflation
2000-03-31,stagflation
2000-04-28,stagflation
2000-05-31,stagflation
2000-06-30,stagflation
2000-07-31,stagflation
2000-08-31,stagflation
2000-09-29,stagflation
2000-10-31,stagflation
2000-11-30,stagflation
2000-12-29,stagflation
2001-01-31,stagflation
2001-02-28,stagflation
2001-03-30,stagflation
2001-04-30,stagflation
2001-05-31,stagflation
2001-06-29,stagflation
2001-07-31,stagflation
2001-08-31,goldilocks
2001-09-28,slowdown
2001-10-31,slowdown
2001-11-30,slowdown
2001-12-31,slowdown
2002-01-31,goldilocks
2002-02-28,goldilocks
2002-03-29,goldilocks
2002-04-30,goldilocks
2002-05-31,goldilocks
2002-06-28,slowdown
2002-07-31,slowdown
2002-08-30,slowdown
2002-09-30,slowdown
2002-10-31,slowdown
2002-11-29,slowdown
2002-12-31,slowdown
2003-01-31,slowdown
2003-02-28,reflation
2003-03-31,slowdown
2003-04-30,goldilocks
2003-05-30,goldilocks
2003-06-30,goldilocks
2003-07-31,slowdown
2003-08-29,reflation
2003-09-30,reflation
2003-10-31,reflation
2003-11-28,reflation
2003-12-31,reflation
2004-01-30,reflation
2004-02-27,reflation
2004-03-31,reflation
2004-04-30,reflation
2004-05-31,reflation
2004-06-30,reflation
2004-07-30,reflation
2004-08-31,reflation
2004-09-30,reflation
2004-10-29,reflation
2004-11-30,reflation
2004-12-31,reflation
2005-01-31,stagflation
2005-02-28,stagflation
2005-03-31,stagflation
2005-04-29,stagflation
2005-05-31,stagflation
2005-06-30,stagflation
2005-07-29,stagflation
2005-08-31,stagflation
2005-09-30,stagflation
2005-10-31,stagflation
2005-11-30,reflation
2005-12-30,stagflation
2006-01-31,stagflation
2006-02-28,stagflation
2006-03-31,stagflation
2006-04-28,reflation
2006-05-31,stagflation
2006-06-30,stagflation
2006-07-31,stagflation
2006-08-31,stagflation
2006-09-29,stagflation
2006-10-31,stagflation
2006-11-30,stagflation
2006-12-29,stagflation
2007-01-31,stagflation
2007-02-28,stagflation
2007-03-30,stagflation
2007-04-30,stagflation
2007-05-31,stagflation
2007-06-29,reflation
2007-07-31,slowdown
2007-08-31,slowdown
2007-09-28,stagflation
2007-10-31,stagflation
2007-11-30,stagflation
2007-12-31,stagflation
2008-01-31,stagflation
2008-02-29,stagflation
2008-03-31,stagflation
2008-04-30,stagflation
2008-05-30,stagflation
2008-06-30,stagflation
2008-07-31,stagflation
2008-08-29,stagflation
2008-09-30,crisis
2008-10-31,crisis
2008-11-28,crisis
2008-12-31,crisis
2009-01-30,crisis
2009-02-27,crisis
2009-03-31,crisis
2009-04-30,crisis
2009-05-29,slowdown
2009-06-30,slowdown
2009-07-31,reflation
2009-08-31,reflation
2009-09-30,reflation
2009-10-30,reflation
2009-11-30,reflation
2009-12-31,reflation
2010-01-29,reflation
2010-02-26,reflation
2010-03-31,reflation
2010-04-30,reflation
2010-05-31,reflation
2010-06-30,reflation
2010-07-30,reflation
2010-08-31,goldilocks
2010-09-30,reflation
2010-10-29,reflation
2010-11-30,reflation
2010-12-31,reflation
2011-01-31,reflation
2011-02-28,reflation
2011-03-31,reflation
2011-04-29,reflation
2011-05-31,reflation
2011-06-30,stagflation
2011-07-29,stagflation
2011-08-31,stagflation
2011-09-30,stagflation
2011-10-31,reflation
2011-11-30,reflation
2011-12-30,reflation
2012-01-31,reflation
2012-02-29,reflation
2012-03-30,reflation
2012-04-30,reflation
2012-05-31,stagflation
2012-06-29,stagflation
2012-07-31,stagflation
2012-08-31,stagflation
2012-09-28,stagflation
2012-10-31,stagflation
2012-11-30,stagflation
2012-12-31,stagflation
2013-01-31,stagflation
2013-02-28,reflation
2013-03-29,stagflation
2013-04-30,stagflation
2013-05-31,stagflation
2013-06-28,reflation
2013-07-31,reflation
2013-08-30,reflation
2013-09-30,reflation
2013-10-31,goldilocks
2013-11-29,goldilocks
2013-12-31,reflation
2014-01-31,goldilocks
2014-02-28,slowdown
2014-03-31,slowdown
2014-04-30,slowdown
2014-05-30,slowdown
2014-06-30,slowdown
2014-07-31,slowdown
2014-08-29,goldilocks
2014-09-30,slowdown
2014-10-31,goldilocks
2014-11-28,slowdown
2014-12-31,slowdown
2015-01-30,slowdown
2015-02-27,slowdown
2015-03-31,slowdown
2015-04-30,slowdown
2015-05-29,slowdown
2015-06-30,slowdown
2015-07-31,slowdown
2015-08-31,crisis
2015-09-30,crisis
2015-10-30,slowdown
2015-11-30,slowdown
2015-12-31,slowdown
2016-01-29,crisis
2016-02-29,crisis
2016-03-31,slowdown
2016-04-29,slowdown
2016-05-31,slowdown
2016-06-30,slowdown
2016-07-29,slowdown
2016-08-31,slowdown
2016-09-30,slowdown
2016-10-31,slowdown
2016-11-30,goldilocks
2016-12-30,reflation
2017-01-31,reflation
2017-02-28,reflation
2017-03-31,reflation
2017-04-28,reflation
2017-05-31,slowdown
2017-06-30,slowdown
2017-07-31,slowdown
2017-08-31,goldilocks
2017-09-29,reflation
2017-10-31,reflation
2017-11-30,reflation
2017-12-29,reflation
2018-01-31,reflation
2018-02-28,reflation
2018-03-30,reflation
2018-04-30,reflation
2018-05-31,reflation
2018-06-29,reflation
2018-07-31,stagflation
2018-08-31,stagflation
2018-09-28,stagflation
2018-10-31,stagflation
2018-11-30,stagflation
2018-12-31,crisis
2019-01-31,slowdown
2019-02-28,slowdown
2019-03-29,slowdown
2019-04-30,stagflation
2019-05-31,slowdown
2019-06-28,slowdown
2019-07-31,slowdown
2019-08-30,slowdown
2019-09-30,slowdown
2019-10-31,slowdown
2019-11-29,slowdown
2019-12-31,stagflation
2020-01-31,slowdown
2020-02-28,slowdown
2020-03-31,crisis
2020-04-30,crisis
2020-05-29,slowdown
2020-06-30,goldilocks
2020-07-31,goldilocks
2020-08-31,goldilocks
2020-09-30,goldilocks
2020-10-30,goldilocks
2020-11-30,goldilocks
2020-12-31,goldilocks
2021-01-29,reflation
2021-02-26,reflation
2021-03-31,reflation
2021-04-30,reflation
2021-05-31,reflation
2021-06-30,reflation
2021-07-30,reflation
2021-08-31,reflation
2021-09-30,reflation
2021-10-29,reflation
2021-11-30,reflation
2021-12-31,reflation
2022-01-31,stagflation
2022-02-28,stagflation
2022-03-31,stagflation
2022-04-29,stagflation
2022-05-31,stagflation
2022-06-30,stagflation
2022-07-29,stagflation
2022-08-31,stagflation
2022-09-30,stagflation
2022-10-31,stagflation
2022-11-30,stagflation
2022-12-30,stagflation
2023-01-31,stagflation
2023-02-28,stagflation
2023-03-31,stagflation
2023-04-28,stagflation
2023-05-31,stagflation
2023-06-30,stagflation
2023-07-31,stagflation
2023-08-31,stagflation
2023-09-29,stagflation
2023-10-31,stagflation
2023-11-30,stagflation
2023-12-29,stagflation
2024-01-31,stagflation
2024-02-29,stagflation
2024-03-29,stagflation
2024-04-30,stagflation
2024-05-31,stagflation
2024-06-28,stagflation
2024-07-31,stagflation
2024-08-30,slowdown
2024-09-30,slowdown
2024-10-31,slowdown
2024-11-29,slowdown
2024-12-31,slowdown
2025-01-31,stagflation
2025-02-28,slowdown
2025-03-31,slowdown
2025-04-30,slowdown
2025-05-30,slowdown
2025-06-30,slowdown
2025-07-31,slowdown
2025-08-29,goldilocks
2025-09-30,goldilocks
2025-10-31,slowdown
2025-11-28,slowdown
2025-12-31,goldilocks
2026-01-30,goldilocks
2026-02-27,goldilocks
