date,strategy,ls_ret,ls_ret_gross,long_ret,short_ret,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2006-01-01,A_Value,-0.010246,-0.000246,-0.000718,0.009528,1.0,1.0,1.0,579.0,1770.0,0.003672,5.911585,0.936158,0.989754,-0.010246,-0.010246,,,,,,,,,,,,,,,,0.0,,
2006-02-01,A_Value,0.021295,0.021707,0.043611,0.022316,0.053819,0.028684,0.041252,576.0,1778.0,0.034951,5.917683,0.937008,1.01083,0.021295,0.01083,,,,,,,,,,,,,,,,0.5,,
2006-03-01,A_Value,0.040069,0.045517,0.021925,-0.018144,0.691693,0.397866,0.54478,626.0,656.0,0.008082,6.291159,2.875,1.051333,0.040069,0.051333,0.051333,,,,,,0.0,,,,,,,,,0.666667,0.666667,
2006-04-01,A_Value,0.058579,0.059281,-0.028324,-0.086902,0.085761,0.054795,0.070278,618.0,657.0,-0.043615,6.225266,2.863014,1.112919,0.058579,0.12444,0.112919,,,,,,0.0,,,,,,,,,1.0,0.75,
2006-05-01,A_Value,0.035617,0.036321,0.002131,-0.033486,0.0736,0.067073,0.070337,625.0,656.0,-0.008726,6.152439,2.890244,1.152558,0.035617,0.14021,0.152558,,,,,,0.0,,,,,,,,,1.0,0.8,
2006-06-01,A_Value,0.059475,0.059834,-0.003661,-0.063136,0.033654,0.038052,0.035853,624.0,657.0,-0.021582,6.18417,2.902588,1.221107,0.059475,0.161484,0.221107,0.221107,,,0.090487,,0.0,0.0,,4.051089,,18.753769,,,,1.0,0.833333,0.833333
2006-07-01,A_Value,-0.0119,-0.007287,0.014909,0.026809,0.525203,0.397281,0.461242,615.0,662.0,0.024743,6.23565,3.02719,1.206576,-0.0119,0.084154,0.219067,0.206576,,,0.102252,,-0.0119,-0.0119,,2.794148,,11.34241,,31.914278,,0.666667,0.833333,0.714286
2006-08-01,A_Value,0.028753,0.034078,0.0156,-0.013152,0.737288,0.327795,0.532541,590.0,662.0,0.009182,5.832326,2.86858,1.241268,0.028753,0.076968,0.227969,0.241268,,,0.094679,,-0.0119,-0.0119,,3.030295,,12.00727,,32.179029,,0.666667,0.833333,0.75
2006-09-01,A_Value,-0.010931,-0.008355,0.04388,0.054811,0.374593,0.140696,0.257644,614.0,661.0,0.044432,6.22239,2.94705,1.2277,-0.010931,0.005399,0.167755,0.2277,,,0.099166,,-0.0119,-0.0119,,2.365169,,9.069007,,26.436371,,0.333333,0.666667,0.666667
2006-10-01,A_Value,-0.012074,-0.008647,0.024093,0.036167,0.405537,0.279879,0.342708,614.0,661.0,0.028778,6.258699,3.059002,1.212877,-0.012074,0.005222,0.089816,0.212877,,,0.101254,,-0.022873,-0.022873,,1.891245,,7.021171,,11.3938,,0.333333,0.5,0.6
2006-11-01,A_Value,0.008249,0.018068,0.018615,0.010366,1.0,0.963801,0.9819,507.0,663.0,0.013763,5.464555,4.698341,1.222882,0.008249,-0.014812,0.061015,0.222882,,,0.096821,,-0.022873,-0.022873,,1.842858,,6.699913,,10.731373,,0.333333,0.5,0.636364
2006-12-01,A_Value,-0.014679,-0.006598,0.00762,0.022299,0.846278,0.769925,0.808102,618.0,665.0,0.019902,6.18797,2.930827,1.204931,-0.014679,-0.018546,-0.013247,0.204931,0.204931,,0.098201,,-0.029274,-0.029274,,1.475416,,5.069223,,7.000415,,0.333333,0.333333,0.583333
2007-01-01,A_Value,0.004422,0.007192,-0.002963,-0.007385,0.322734,0.231231,0.276983,629.0,666.0,1e-06,6.376877,2.858859,1.210259,0.004422,-0.002158,0.003053,0.222788,0.210259,,0.094964,,-0.029274,-0.029274,,1.666737,,5.635248,,7.610404,,0.666667,0.5,0.666667
2007-02-01,A_Value,0.007449,0.008815,0.010874,0.003425,0.102848,0.170404,0.136626,632.0,669.0,0.006623,6.348802,2.875934,1.219274,0.007449,-0.002951,-0.017719,0.20621,0.219274,,0.095327,,-0.018546,-0.029274,,1.512441,,5.129942,,7.044107,,0.666667,0.5,0.666667
2007-03-01,A_Value,-0.007774,-0.007262,0.025854,0.033629,0.042789,0.059613,0.051201,631.0,671.0,0.025234,6.375559,2.956781,1.209795,-0.007774,0.004036,-0.014584,0.150724,0.209795,,0.094195,,-0.014679,-0.029274,,1.018362,,3.408716,,5.148707,,0.666667,0.5,0.583333
2007-04-01,A_Value,0.025908,0.02655,0.026251,0.000343,0.06891,0.059524,0.064217,624.0,672.0,0.023309,6.28869,2.9375,1.241138,0.025908,0.025514,0.023301,0.115209,0.241138,,0.081406,,-0.014679,-0.029274,,0.77128,,2.222541,,3.935534,,0.666667,0.666667,0.583333
2007-05-01,A_Value,0.018698,0.019258,-0.003512,-0.022209,0.067524,0.044577,0.05605,622.0,673.0,-0.008401,6.20951,3.035661,1.264344,0.018698,0.036965,0.033905,0.096989,0.264344,,0.077101,,-0.007774,-0.029274,,0.596809,,1.630009,,3.313141,,0.666667,0.666667,0.583333
2007-06-01,A_Value,-0.000377,0.000137,-0.0511,-0.050723,0.051037,0.051852,0.051444,627.0,675.0,-0.0444,6.244444,3.022222,1.263867,-0.000377,0.044696,0.048912,0.035018,0.263867,0.263867,0.052919,0.08343,-0.007774,-0.029274,-0.029274,-0.26293,1.343274,-0.504872,4.37935,1.196196,5.771764,0.666667,0.666667,0.5
2007-07-01,A_Value,-0.052102,-0.043439,-0.043862,0.00824,0.893971,0.838519,0.866245,481.0,675.0,-0.011867,5.231111,4.628148,1.198018,-0.052102,-0.034742,-0.010115,-0.007093,0.198018,0.198018,0.075642,0.096335,-0.052459,-0.052459,-0.052459,-0.716831,0.735439,-0.961204,1.496046,-0.13521,2.304094,0.333333,0.5,0.5
2007-08-01,A_Value,-0.015634,-0.01503,0.01047,0.026104,0.070093,0.050595,0.060344,428.0,672.0,0.023831,4.865872,4.33631,1.179288,-0.015634,-0.067273,-0.032795,-0.049933,0.179288,0.179288,0.069795,0.095832,-0.067273,-0.067273,-0.067273,-1.41455,0.578172,-1.76389,1.179351,-0.742244,1.54605,0.0,0.333333,0.416667
2007-09-01,A_Value,0.008857,0.010539,0.019479,0.010622,0.216036,0.120536,0.168286,449.0,672.0,0.01564,5.049107,4.30506,1.189732,0.008857,-0.058657,-0.016583,-0.030926,0.189732,0.189732,0.070475,0.093406,-0.067273,-0.067273,-0.067273,-1.103727,0.599472,-1.366759,1.210753,-0.459705,1.551415,0.333333,0.5,0.5
2007-10-01,A_Value,-0.030909,-0.028723,-0.111391,-0.080482,0.297143,0.14006,0.218602,175.0,664.0,-0.075307,3.417169,4.578313,1.152959,-0.030909,-0.037611,-0.071047,-0.049402,0.152959,0.152959,0.075618,0.095722,-0.088097,-0.088097,-0.088097,-1.27148,0.365048,-1.557197,0.711538,-0.560762,0.916357,0.333333,0.333333,0.5
2007-11-01,A_Value,-0.015382,-0.005382,-0.025182,-0.0098,1.0,1.0,1.0,613.0,659.0,-0.010258,6.103187,2.720789,1.135224,-0.015382,-0.037365,-0.102125,-0.071682,0.135224,0.135224,0.075136,0.09489,-0.101786,-0.102125,-0.102125,-1.585748,0.249103,-1.96631,0.487437,-0.701905,0.669873,0.333333,0.166667,0.416667
2007-12-01,A_Value,-0.01983,-0.010386,-0.063932,-0.044101,1.0,0.888889,0.944444,439.0,648.0,-0.047714,5.083333,4.375,1.112712,-0.01983,-0.064738,-0.119597,-0.076535,0.112712,0.112712,0.07596,0.094569,-0.071206,-0.11993,-0.11993,-1.624415,0.120498,-2.014467,0.235636,-0.638165,0.457364,0.0,0.166667,0.416667
2008-01-01,A_Value,-0.000706,0.008693,-0.026721,-0.026015,0.998371,0.881356,0.939864,614.0,649.0,-0.025152,6.305085,2.793529,1.111926,-0.000706,-0.035589,-0.071862,-0.081249,0.123437,0.111926,0.075335,0.092657,-0.065398,-0.120551,-0.120551,-1.67007,0.103537,-2.083072,0.201334,-0.673983,0.433377,0.0,0.166667,0.333333
2008-02-01,A_Value,0.041863,0.042524,-0.013933,-0.055796,0.045528,0.086687,0.066108,615.0,646.0,-0.02403,6.314241,2.832817,1.158474,0.041863,0.020481,-0.017649,-0.049865,0.146062,0.158474,0.089055,0.09425,-0.065398,-0.120551,-0.120551,-0.979961,0.295579,-1.46892,0.593533,-0.413644,0.582757,0.333333,0.333333,0.333333
2008-03-01,A_Value,0.005827,0.006176,0.023001,0.017174,0.026101,0.043682,0.034891,613.0,641.0,0.031299,6.343214,2.918877,1.165225,0.005827,0.047194,-0.020599,-0.036841,0.108331,0.165225,0.089455,0.092419,-0.035589,-0.120551,-0.120551,-0.795455,0.310049,-1.16714,0.616707,-0.305602,0.583359,0.666667,0.333333,0.416667
2008-04-01,A_Value,-0.0121,-0.011402,0.016758,0.028858,0.088235,0.051482,0.069859,612.0,641.0,0.029501,6.282371,2.939158,1.151125,-0.0121,0.035253,-0.00159,-0.072524,0.03433,0.151125,0.084053,0.091464,-0.020522,-0.120551,-0.120551,-1.254631,0.237497,-1.789758,0.474593,-0.601606,0.515743,0.666667,0.333333,0.333333
2008-05-01,A_Value,-0.018688,-0.018197,-0.102934,-0.084247,0.057566,0.040562,0.049064,608.0,641.0,-0.087323,6.246875,2.967239,1.129614,-0.018688,-0.024913,-0.004942,-0.106562,-0.019908,0.129614,0.080308,0.09114,-0.030562,-0.120219,-0.120551,-1.733034,0.137439,-2.450722,0.274707,-0.886396,0.429068,0.333333,0.333333,0.25
2008-06-01,A_Value,0.008228,0.00902,0.001262,-0.006966,0.039409,0.118936,0.079172,609.0,639.0,-0.001318,6.225352,2.904538,1.138908,0.008228,-0.022585,0.023543,-0.09887,-0.067315,0.138908,0.081775,0.089585,-0.030562,-0.071862,-0.120551,-1.566433,0.164287,-2.220745,0.3255,-1.375846,0.443009,0.333333,0.5,0.333333
2008-07-01,A_Value,0.034481,0.041428,0.023941,-0.01054,0.843003,0.546457,0.69473,586.0,635.0,0.014395,6.159055,2.946457,1.178178,0.034481,0.023501,0.059583,-0.01656,-0.023536,0.178178,0.076972,0.090012,-0.030562,-0.065398,-0.120551,-0.539616,0.299354,-1.027224,0.602581,-0.253221,0.543584,0.666667,0.666667,0.416667
2008-08-01,A_Value,0.090561,0.096596,-0.070453,-0.161013,0.793919,0.413249,0.603584,592.0,634.0,-0.116705,6.082019,2.436909,1.284875,0.090561,0.137446,0.109109,0.089534,0.035131,0.284875,0.117685,0.102693,-0.030562,-0.065398,-0.120551,0.55695,0.576179,1.59782,1.342084,1.369065,0.817558,1.0,0.666667,0.5
2008-09-01,A_Value,0.072536,0.074148,-0.189948,-0.262483,0.068027,0.254428,0.161228,588.0,621.0,-0.206427,6.206119,2.830918,1.378074,0.072536,0.209996,0.182668,0.158306,0.122484,0.378074,0.134417,0.108248,-0.018688,-0.035589,-0.120551,0.96836,0.764845,3.168715,1.898765,4.448158,1.025996,1.0,0.666667,0.5
2008-10-01,A_Value,0.022897,0.024952,-0.130521,-0.153418,0.217857,0.19322,0.205539,560.0,590.0,-0.132132,6.254237,3.015254,1.409627,0.022897,0.196446,0.224564,0.222617,0.162218,0.409627,0.125736,0.106861,0.0,-0.030562,-0.120551,1.478841,0.823414,5.789035,2.037115,7.28414,1.0686,1.0,0.833333,0.583333
2008-11-01,A_Value,-0.003703,0.004161,0.045004,0.048707,0.801255,0.771605,0.78643,478.0,1296.0,0.042644,5.848987,1.158951,1.404407,-0.003703,0.09303,0.243263,0.237119,0.14844,0.404407,0.122917,0.10561,-0.003703,-0.030562,-0.120551,1.640962,0.797454,6.841173,1.973299,7.758653,1.024374,0.666667,0.833333,0.583333
2008-12-01,A_Value,-0.116742,-0.116395,-0.082373,0.034369,0.04661,0.022763,0.034687,472.0,1274.0,-0.045923,5.872897,1.145997,1.240453,-0.116742,-0.099865,0.08916,0.114802,0.029481,0.240453,0.180538,0.127301,-0.120013,-0.120013,-0.120551,0.604881,0.344433,0.942315,0.578573,0.956577,0.617729,0.333333,0.666667,0.583333
2009-01-01,A_Value,-0.025275,-0.02168,-0.141451,-0.116176,0.309572,0.409346,0.359459,491.0,535.0,-0.11074,6.166355,3.530841,1.209101,-0.025275,-0.142255,0.026246,0.087393,-0.000957,0.221618,0.183824,0.128278,-0.142255,-0.142255,-0.142255,0.471916,0.312458,0.747528,0.524883,0.614345,0.48506,0.0,0.5,0.583333
